Date,TP KTF10,TP KTF101,TP KTF11,TP KTF12,TP KTF17,TP KTF17 EUR,TP KTF17 USD,TP KTF18,TP KTFTUK,TP KTFTUK01,,,,
04-01-2002,74,83,,60,75,54,84,62,82,13,,,,
11-01-2002,78,18,,56,20,44,25,56,49,7,,,,
18-01-2002,75,3,,53,16,42,29,67,14,7,,,,
25-01-2002,71,46,,60,71,58,45,50,75,7,,,,
01-02-2002,73,76,,43,19,55,86,54,60,6,,,,
08-02-2002,75,10,,53,57,49,79,62,65,10,,,,
15-02-2002,69,55,,58,50,54,68,55,99,7,,,,
22-02-2002,68,13,,49,72,51,50,60,33,,,,,
01-03-2002,69,78,,48,86,53,81,57,4,11,,,,
08-03-2002,69,97,,50,91,54,28,62,77,6,,,,
15-03-2002,66,0,,49,67,54,85,58,74,7,,,,
22-03-2002,61,94,,52,6,50,19,58,73,8,,,,
29-03-2002,60,9,,50,42,52,43,58,86,6,,,,
05-04-2002,66,86,,51,59,49,85,53,70,7,,,,
12-04-2002,60,82,,50,43,50,57,53,96,10,,,,
19-04-2002,56,86,,47,34,48,13,53,75,7,,,,
26-04-2002,58,39,,45,99,49,46,47,49,13,,,,
03-05-2002,55,60,,44,39,47,79,50,53,8,,,,
10-05-2002,54,23,,41,66,44,5,52,43,8,,,,
17-05-2002,52,6,,41,76,42,79,39,69,9,,,,
24-05-2002,51,3,,42,61,45,18,46,70,6,,,,
31-05-2002,52,66,,39,61,43,68,45,52,10,,,,
07-06-2002,51,68,,40,51,43,43,51,75,6,,,,
14-06-2002,51,82,,44,9,44,37,52,39,6,,,,
21-06-2002,52,64,,44,41,43,52,45,95,6,,,,
28-06-2002,54,87,,46,33,47,56,44,11,5,,,,
05-07-2002,54,91,,47,33,47,34,47,59,5,,,,
12-07-2002,56,43,,50,46,50,17,45,21,5,,,,
19-07-2002,56,72,,52,38,44,88,52,33,8,,,,
26-07-2002,56,94,,49,98,50,65,41,76,5,,,,
02-08-2002,56,45,,50,84,49,95,46,6,4,,,,
09-08-2002,55,76,,50,47,50,55,50,58,7,,,,
16-08-2002,53,90,,47,21,48,27,40,17,5,,,,
23-08-2002,56,2,,47,63,49,16,45,57,5,,,,
30-08-2002,55,10,,33,84,40,63,40,10,6,,,,
06-09-2002,54,27,,46,70,46,86,45,85,6,,,,
13-09-2002,54,33,,47,4,48,5,45,79,5,,,,
20-09-2002,53,99,,47,7,44,78,46,54,5,,,,
27-09-2002,54,0,,44,87,47,4,42,46,8,,,,
04-10-2002,53,44,,45,70,49,4,47,82,11,,,,
11-10-2002,53,85,,47,0,48,81,43,67,5,,,,
18-10-2002,53,98,,46,73,48,85,48,16,10,,,,
25-10-2002,55,7,,46,51,49,67,38,98,5,,,,
01-11-2002,54,11,,45,75,47,95,40,6,7,,,,
08-11-2002,53,88,,46,84,47,1,47,48,3,,,,
15-11-2002,53,62,,46,30,50,56,38,80,4,,,,
22-11-2002,52,65,,45,11,47,77,43,27,4,,,,
29-11-2002,50,80,,43,47,46,70,39,99,4,,,,
